PathCode,StudentNum,TrainingNum,PredictorsNum,Target,Accuracy,Error
1360,141,99,4,m2001,0.714285714285714,0.285714285714286
1360,141,99,4,m2002,0.714285714285714,0.285714285714286
1360,141,99,4,m2003,0.642857142857143,0.357142857142857
1360,141,99,4,m2004,0.761904761904762,0.238095238095238
1360,141,99,4,m2005,0.642857142857143,0.357142857142857
1412,116,81,8,m2001,0.571428571428571,0.428571428571429
1412,116,81,8,m2003,0.6,0.4
1412,116,81,8,m2005,0.8,0.2
1412,116,81,8,m2007,0.6,0.4
1412,116,81,8,m2009,0.428571428571429,0.571428571428571
1412,116,81,8,m2011,0.714285714285714,0.285714285714286
0495,100,70,8,m2013,0.5,0.5
0495,100,70,8,m2014,0.620689655172414,0.379310344827586
0495,100,70,8,m2015,0.655172413793103,0.344827586206897
0495,100,70,8,m2016,0.733333333333333,0.266666666666667
0495,100,70,8,m2017,0.5,0.5
0495,100,70,8,m2018,0.413793103448276,0.586206896551724
0495,100,70,8,m2019,0.533333333333333,0.466666666666667
0495,100,70,8,m2020,0.689655172413793,0.310344827586207
0113,88,62,6,m2087,0.346153846153846,0.653846153846154
0113,88,62,6,m2088,0.5,0.5
0113,88,62,6,m2089,0.846153846153846,0.153846153846154
0113,88,62,6,m2104,0.615384615384615,0.384615384615385
0113,88,62,6,m2105,0.730769230769231,0.269230769230769
0113,88,62,6,m2106,0.384615384615385,0.615384615384615
0113,88,62,6,m2107,0.5,0.5
0113,88,62,6,m2116,0.576923076923077,0.423076923076923
1097,79,55,12,m2100,0.625,0.375
1097,79,55,12,m2102,0.5,0.5
1097,79,55,12,m2103,0.708333333333333,0.291666666666667
1097,79,55,12,m2104,0.625,0.375
1097,79,55,12,m2107,0.791666666666667,0.208333333333333
1097,79,55,12,m2115,0.416666666666667,0.583333333333333
1097,79,55,12,m2116,0.666666666666667,0.333333333333333
1097,79,55,12,m2117,0.583333333333333,0.416666666666667
1100,77,54,12,m2001,0.695652173913043,0.304347826086957
