PathCode,StudentNum,TrainingNum,PredictorsNum,mean_Accuracy,mean_Error
1360,141,71,4,0.661904761904762,0.338095238095238
1412,116,58,8,0.623809523809524,0.376190476190476
0495,100,50,8,0.555316091954023,0.444683908045977
0113,88,44,6,0.548076923076923,0.451923076923077
1097,79,39,12,0.567708333333333,0.432291666666667
1100,77,39,12,0.509881422924901,0.490118577075099
0316,72,36,9,0.528409090909091,0.471590909090909
0690,68,34,8,0.48125,0.51875
1112,68,33,10,0.5125,0.4875
1112,68,34,10,0.5625,0.4375
1351,60,30,4,0.503676470588235,0.496323529411765
0116,55,27,6,0.627450980392157,0.372549019607843
0233,55,27,6,0.5,0.5
0948,55,27,10,0.46524064171123,0.53475935828877
1119,55,27,10,0.450980392156863,0.549019607843137
0098,54,27,8,0.591145833333333,0.408854166666667
0660,53,26,8,0.5390625,0.4609375
1103,53,26,12,0.4921875,0.5078125
0662,49,24,8,0.462698412698413,0.537301587301587
1300,48,24,5,0.392857142857143,0.607142857142857
1105,43,21,12,0.506410256410256,0.493589743589744
1113,43,21,10,0.423076923076923,0.576923076923077
1118,42,21,10,0.468531468531469,0.531468531468532
0670,40,20,8,0.71875,0.28125
